,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","  With employment income",, 7790680,, 3998335,, 3792350,,20428690,,10547760,, 9880925,
"Income of individuals in 2015","  Percentage with employment income",,     70.6,,     74.8,,     66.6,,     71.3,,     75.4,,     67.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",, 1094860,,  546920,,  547940,, 2778990,, 1357430,, 1421560,
"Income of individuals in 2015","    $5;000 to $9;999",,  635305,,  281135,,  354165,, 1602140,,  697025,,  905120,
"Income of individuals in 2015","    $10;000 to $19;999",, 1027910,,  464445,,  563465,, 2736010,, 1212855,, 1523155,
"Income of individuals in 2015","    $20;000 to $29;999",,  827805,,  372185,,  455625,, 2293785,, 1022090,, 1271695,
"Income of individuals in 2015","    $30;000 to $39;999",,  767840,,  351925,,  415910,, 2149860,, 1001065,, 1148795,
"Income of individuals in 2015","    $40;000 to $49;999",,  709775,,  341320,,  368450,, 1928565,,  946625,,  981940,
"Income of individuals in 2015","    $50;000 to $59;999",,  588220,,  310155,,  278065,, 1554100,,  839045,,  715055,
"Income of individuals in 2015","    $60;000 to $69;999",,  465670,,  263430,,  202240,, 1220310,,  708270,,  512040,
"Income of individuals in 2015","    $70;000 to $79;999",,  369085,,  218570,,  150515,,  992170,,  591945,,  400225,
"Income of individuals in 2015","    $80;000 and over",, 1304210,,  848245,,  455970,, 3172770,, 2171415,, 1001355,
"Income of individuals in 2015","      $80;000 to $89;999",,  307660,,  182660,,  125005,,  773755,,  475700,,  298055,
"Income of individuals in 2015","      $90;000 to $99;999",,  280530,,  156440,,  124090,,  623980,,  382330,,  241650,
"Income of individuals in 2015","      $100;000 and over",,  716015,,  509140,,  206875,, 1775030,, 1313385,,  461645,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34, 5169175,,,...,,...,14072080,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   74287,,,...,,...,   70336,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   65285,,,...,,...,   61348,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",, 1341300,,,...,,..., 3969790,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   36900,,,...,,...,   35174,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   33219,,,...,,...,   31446,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",, 3827875,,,...,,...,10102290,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   90967,,,...,,...,   88249,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   79528,,,...,,...,   76419,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35, 5169175,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   97856,,,...,,...,   92764,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   80322,,,...,,...,   76171,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",, 1341115,,,...,,..., 3967765,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   49571,,,...,,...,   46799,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   40830,,,...,,...,   38685,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",, 3828060,,,...,,...,10104315,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  114773,,,...,,...,  110813,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   94157,,,...,,...,   90890,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36, 5169175,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,   86720,,,...,,...,  228790,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,   70245,,,...,,...,  200315,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  134395,,,...,,...,  374575,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  185245,,,...,,...,  565940,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  200770,,,...,,...,  602800,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  189450,,,...,,...,  538710,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  202580,,,...,,...,  603480,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  207180,,,...,,...,  606600,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  206605,,,...,,...,  596110,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  202015,,,...,,...,  578325,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,  388820,,,...,,..., 1097345,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,  363580,,,...,,..., 1010415,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,  335770,,,...,,...,  924320,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  309105,,,...,,...,  836765,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  282740,,,...,,...,  745655,,,...,,...
"Income of households in 2015","  $100;000 and over",, 1803955,,,...,,..., 4561920,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,  560090,,,...,,..., 1470255,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,  394570,,,...,,..., 1016245,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,  449885,,,...,,..., 1116140,,,...,,...
"Income of households in 2015","    $200;000 and over",,  399410,,,...,,...,  959285,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32, 5169175,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,   92220,,,...,,...,  243780,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,   71480,,,...,,...,  203865,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  136550,,,...,,...,  380680,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  192920,,,...,,...,  591660,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  222605,,,...,,...,  673740,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  211440,,,...,,...,  628225,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  232755,,,...,,...,  719825,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  244335,,,...,,...,  725675,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  247645,,,...,,...,  711180,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  241965,,,...,,...,  691695,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,  463170,,,...,,..., 1299680,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,  422695,,,...,,..., 1169515,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,  388720,,,...,,..., 1041635,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  342330,,,...,,...,  900055,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  290720,,,...,,...,  757295,,,...,,...
"Income of households in 2015","  $100;000 and over",, 1367630,,,...,,..., 3333575,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,  539915,,,...,,..., 1371945,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,  334420,,,...,,...,  809540,,,...,,...
"Income of households in 2015","    $150;000 and over",,  493295,,,...,,..., 1152090,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37, 3689580,,,...,,..., 9688845,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   91089,,,...,,...,   88306,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   79531,,,...,,...,   76372,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.1,,,...,,...,      3.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",, 1280890,,,...,,..., 3706220,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   81459,,,...,,...,   78976,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   71237,,,...,,...,   68309,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",, 1716115,,,...,,..., 4222140,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  115381,,,...,,...,  113465,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   99205,,,...,,...,   96608,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.1,,,...,,...,      4.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,  584180,,,...,,..., 1481410,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   54363,,,...,,...,   53193,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   50317,,,...,,...,   48856,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38, 3689080,,,...,,..., 9689855,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  115328,,,...,,...,  111235,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   94410,,,...,,...,   91040,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",, 1280580,,,...,,..., 3706400,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  104425,,,...,,...,  101086,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   84952,,,...,,...,   82296,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",, 1717295,,,...,,..., 4225855,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  140590,,,...,,...,  137094,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  114144,,,...,,...,  111307,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,  581945,,,...,,..., 1477190,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   67748,,,...,,...,   65549,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   58742,,,...,,...,   56687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21, 1818815,,  867175,,  951640,, 5313545,, 2608845,, 2704705,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   32097,,   33925,,   30753,,   31890,,   34483,,   29801,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   29417,,   30678,,   28442,,   28959,,   30746,,   27495,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40, 1814575,,  864020,,  950555,, 5299050,, 2596985,, 2702070,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   44298,,   46765,,   42057,,   42939,,   46085,,   39915,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   36874,,   38228,,   35644,,   35801,,   37724,,   33952,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,13242160,, 6472205,, 6769955,,34460065,,16971550,,17488515,
"Income of economic families in 2015","  In the bottom half of the distribution",, 6335170,, 3016275,, 3318895,,17229835,, 8256970,, 8972865,
"Income of economic families in 2015","    In the bottom decile",, 1346645,,  651310,,  695335,, 3445950,, 1672900,, 1773050,
"Income of economic families in 2015","    In the second decile",, 1280675,,  581380,,  699290,, 3445660,, 1564965,, 1880700,
"Income of economic families in 2015","    In the third decile",, 1237415,,  583840,,  653575,, 3446165,, 1641930,, 1804235,
"Income of economic families in 2015","    In the fourth decile",, 1223510,,  589740,,  633770,, 3445850,, 1677120,, 1768730,
"Income of economic families in 2015","    In the fifth decile",, 1246925,,  610000,,  636930,, 3446210,, 1700060,, 1746150,
"Income of economic families in 2015","  In the top half of the distribution",, 6906990,, 3455930,, 3451060,,17230230,, 8714580,, 8515650,
"Income of economic families in 2015","    In the sixth decile",, 1279095,,  629635,,  649465,, 3445695,, 1716510,, 1729185,
"Income of economic families in 2015","    In the seventh decile",, 1321220,,  655840,,  665375,, 3446470,, 1730975,, 1715500,
"Income of economic families in 2015","    In the eighth decile",, 1382795,,  691630,,  691165,, 3445940,, 1741640,, 1704300,
"Income of economic families in 2015","    In the ninth decile",, 1464415,,  736030,,  728385,, 3446045,, 1751850,, 1694195,
"Income of economic families in 2015","    In the top decile",, 1459465,,  742795,,  716670,, 3446080,, 1773600,, 1672475,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,13184055,, 6442930,, 6741130,,33968295,,16724265,,17244035,
"Low income in 2015","  0 to 17 years",, 2656535,, 1361905,, 1294630,, 6836380,, 3504250,, 3332125,
"Low income in 2015","    0 to 5 years",,  835000,,  428025,,  406975,, 2228770,, 1142505,, 1086270,
"Low income in 2015","  18 to 64 years",, 8418960,, 4110615,, 4308345,,21695090,,10690090,,11005005,
"Low income in 2015","  65 years and over",, 2108560,,  970405,, 1138155,, 5436830,, 2529930,, 2906905,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",, 1898975,,  886530,, 1012445,, 4809940,, 2243200,, 2566740,
"Low income in 2015","  0 to 17 years",,  489905,,  251830,,  238080,, 1163830,,  597570,,  566255,
"Low income in 2015","    0 to 5 years",,  165140,,   84825,,   80310,,  396095,,  203055,,  193030,
"Low income in 2015","  18 to 64 years",, 1155315,,  538535,,  616780,, 2855290,, 1341590,, 1513700,
"Low income in 2015","  65 years and over",,  253755,,   96170,,  157585,,  790825,,  304040,,  486780,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     14.4,,     13.8,,     15.0,,     14.2,,     13.4,,     14.9,
"Low income in 2015","  0 to 17 years (%)",,     18.4,,     18.5,,     18.4,,     17.0,,     17.1,,     17.0,
"Low income in 2015","    0 to 5 years (%)",,     19.8,,     19.8,,     19.7,,     17.8,,     17.8,,     17.8,
"Low income in 2015","  18 to 64 years (%)",,     13.7,,     13.1,,     14.3,,     13.2,,     12.5,,     13.8,
"Low income in 2015","  65 years and over (%)",,     12.0,,      9.9,,     13.8,,     14.5,,     12.0,,     16.7,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",, 1298590,,  627935,,  670650,, 3128995,, 1519370,, 1609630,
"Low income in 2015","  0 to 17 years",,  304390,,  156575,,  147815,,  696025,,  357255,,  338770,
"Low income in 2015","    0 to 5 years",,  102750,,   52810,,   49935,,  236435,,  121170,,  115260,
"Low income in 2015","  18 to 64 years",,  887640,,  430545,,  457095,, 2157745,, 1057585,, 1100160,
"Low income in 2015","  65 years and over",,  106555,,   40815,,   65740,,  275225,,  104525,,  170695,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      9.8,,      9.7,,      9.9,,      9.2,,      9.1,,      9.3,
"Low income in 2015","  0 to 17 years (%)",,     11.5,,     11.5,,     11.4,,     10.2,,     10.2,,     10.2,
"Low income in 2015","    0 to 5 years (%)",,     12.3,,     12.3,,     12.3,,     10.6,,     10.6,,     10.6,
"Low income in 2015","  18 to 64 years (%)",,     10.5,,     10.5,,     10.6,,      9.9,,      9.9,,     10.0,
"Low income in 2015","  65 years and over (%)",,      5.1,,      4.2,,      5.8,,      5.1,,      4.1,,      5.9,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,13242160,, 6472240,, 6769925,,34460065,,16971575,,17488485,
"Knowledge of languages","  Official languages",,12918075,, 6342930,, 6575145,,33818210,,16709290,,17108920,
"Knowledge of languages","    English",,12879045,, 6326225,, 6552825,,29748265,,14806270,,14941995,
"Knowledge of languages","    French",, 1521020,,  677505,,  843510,,10242945,, 4952455,, 5290495,
"Knowledge of languages","  Non-official languages",, 4431270,, 2115510,, 2315760,, 9369280,, 4488185,, 4881090,
"Knowledge of languages","    Aboriginal languages",,   33855,,   15815,,   18035,,  263845,,  127550,,  136295,
"Knowledge of languages","      Algonquian languages",,   30630,,   14505,,   16125,,  177570,,   85505,,   92065,
"Knowledge of languages","        Blackfoot",,      15,,      15,,       0,,    5645,,    2695,,    2950,
"Knowledge of languages","        Cree-Montagnais languages",,    6560,,    3160,,    3395,,  116585,,   56515,,   60070,
"Knowledge of languages","          Atikamekw",,      10,,       0,,       0,,    6640,,    3335,,    3305,
"Knowledge of languages","          Montagnais (Innu)",,      10,,       0,,      10,,   11440,,    5500,,    5945,
"Knowledge of languages","          Moose Cree",,     145,,      70,,      75,,     195,,      80,,     115,
"Knowledge of languages","          Naskapi",,      25,,      10,,      10,,    1465,,     710,,     755,
"Knowledge of languages","          Northern East Cree",,      65,,      25,,      45,,     545,,     225,,     320,
"Knowledge of languages","          Plains Cree",,     105,,      50,,      50,,    5905,,    2705,,    3200,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,      40,,      30,,      10,
"Knowledge of languages","          Swampy Cree",,     605,,     255,,     350,,    2345,,     995,,    1350,
"Knowledge of languages","          Woods Cree",,      45,,      25,,      25,,    2665,,    1230,,    1435,
"Knowledge of languages","          Cree; n.o.s.",,    5620,,    2760,,    2865,,   86115,,   42080,,   44035,
"Knowledge of languages","        Eastern Algonquian languages",,     180,,      95,,      85,,    9765,,    4710,,    5050,
"Knowledge of languages","          Malecite",,      20,,      20,,       0,,     755,,     370,,     390,
"Knowledge of languages","          Mi'kmaq",,     160,,      75,,      85,,    9025,,    4350,,    4670,
"Knowledge of languages","        Ojibway-Potawatomi languages",,   23980,,   11285,,   12690,,   46685,,   22100,,   24585,
"Knowledge of languages","          Algonquin",,     205,,      95,,     105,,    2480,,    1165,,    1315,
"Knowledge of languages","          Ojibway",,   16220,,    7600,,    8630,,   28585,,   13365,,   15220,
"Knowledge of languages","          Oji-Cree",,    7515,,    3585,,    3935,,   15610,,    7575,,    8030,
"Knowledge of languages","          Ottawa (Odawa)",,     200,,     105,,     100,,     205,,     105,,     105,
"Knowledge of languages","        Algonquian languages; n.i.e.",,      85,,      40,,      50,,     120,,      60,,      60,
"Knowledge of languages","      Athabaskan languages",,      85,,      25,,      65,,   23655,,   11340,,   12320,
"Knowledge of languages","        Northern Athabaskan languages",,      80,,      25,,      55,,   23570,,   11300,,   12265,
"Knowledge of languages","          Babine (Wetsuwet'en)",,      10,,       0,,       0,,     210,,     105,,     100,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,     340,,     180,,     165,
"Knowledge of languages","          Carrier",,      10,,       0,,      10,,    2105,,     955,,    1145,
"Knowledge of languages","          Chilcotin",,      10,,       0,,      10,,    1150,,     535,,     610,
"Knowledge of languages","          Dene",,      45,,      20,,      30,,   13060,,    6270,,    6790,
"Knowledge of languages","          Dogrib (Tlicho)",,      10,,       0,,      10,,    2375,,    1210,,    1165,
"Knowledge of languages","          Gwich'in",,      10,,       0,,      10,,     360,,     165,,     200,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,     150,,      60,,      90,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,     185,,      85,,     100,
"Knowledge of languages","          Slavey-Hare languages",,      10,,       0,,       0,,    2815,,    1340,,    1475,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,    1010,,     475,,     530,
"Knowledge of languages","            South Slavey",,       0,,       0,,      10,,    1365,,     660,,     710,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,     680,,     320,,     360,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,     630,,     340,,     285,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,     365,,     205,,     170,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,     270,,     140,,     130,
"Knowledge of languages","          Tutchone languages",,      10,,       0,,       0,,     420,,     160,,     260,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,     285,,     115,,     170,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,     145,,      50,,      95,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      85,,      35,,      50,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,     465,,     205,,     260,
"Knowledge of languages","      Inuit languages",,     840,,     320,,     525,,   42980,,   21355,,   21630,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,      10,,       0,,      10,,    1975,,     895,,    1080,
"Knowledge of languages","        Inuktitut",,     730,,     285,,     445,,   40620,,   20280,,   20340,
"Knowledge of languages","        Inuit languages; n.i.e.",,     105,,      35,,      70,,     470,,     225,,     240,
"Knowledge of languages","      Iroquoian languages",,    1940,,     810,,    1125,,    2800,,    1240,,    1555,
"Knowledge of languages","        Cayuga",,     120,,      35,,      85,,     125,,      40,,      85,
"Knowledge of languages","        Mohawk",,    1625,,     710,,     915,,    2415,,    1120,,    1295,
"Knowledge of languages","        Oneida",,     180,,      55,,     125,,     180,,      60,,     125,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,      50,,      25,,      25,,     115,,      45,,      75,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,     175,,      95,,      80,
"Knowledge of languages","      Michif",,     180,,      65,,     110,,    1210,,     585,,     625,
"Knowledge of languages","      Salish languages",,      10,,       0,,      10,,    5750,,    2730,,    3015,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,     185,,      75,,     110,
"Knowledge of languages","        Halkomelem",,       0,,       0,,       0,,    1060,,     475,,     585,
"Knowledge of languages","        Lillooet",,       0,,       0,,       0,,     790,,     405,,     385,
"Knowledge of languages","        Okanagan",,       0,,      10,,       0,,     820,,     370,,     450,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,       0,,       0,,       0,,    1305,,     640,,     665,
"Knowledge of languages","        Squamish",,       0,,       0,,       0,,     285,,     125,,     155,
"Knowledge of languages","        Straits",,       0,,       0,,       0,,     360,,     160,,     200,
"Knowledge of languages","        Thompson (Ntlakapamux)",,       0,,       0,,       0,,     450,,     220,,     235,
"Knowledge of languages","        Salish languages; n.i.e.",,      10,,       0,,      10,,     565,,     295,,     270,
"Knowledge of languages","      Siouan languages",,      40,,      10,,      30,,    5430,,    2665,,    2770,
"Knowledge of languages","        Dakota",,      20,,      10,,      10,,    1760,,     870,,     890,
"Knowledge of languages","        Stoney",,       0,,       0,,       0,,    3675,,    1805,,    1875,
"Knowledge of languages","        Siouan languages; n.i.e.",,      20,,       0,,      15,,     140,,      70,,      70,
"Knowledge of languages","      Tlingit",,       0,,       0,,       0,,     260,,     140,,     120,
"Knowledge of languages","      Tsimshian languages",,      10,,       0,,      10,,    2730,,    1350,,    1380,
"Knowledge of languages","        Gitxsan (Gitksan)",,      10,,       0,,      10,,    1305,,     645,,     660,
"Knowledge of languages","        Nisga'a",,       0,,       0,,       0,,    1060,,     545,,     515,
"Knowledge of languages","        Tsimshian",,      10,,       0,,      10,,     410,,     180,,     235,
"Knowledge of languages","      Wakashan languages",,      10,,      10,,       0,,    1490,,     680,,     805,
"Knowledge of languages","        Haisla",,       0,,       0,,       0,,     175,,      65,,     110,
"Knowledge of languages","        Heiltsuk",,       0,,       0,,      10,,     125,,      50,,      75,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,      10,,       0,,       0,,     605,,     285,,     320,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     565,,     265,,     300,
"Knowledge of languages","        Wakashan languages; n.i.e.",,       0,,       0,,       0,,      30,,      20,,      10,
"Knowledge of languages","      Aboriginal languages; n.o.s.",,     210,,     100,,     110,,     665,,     310,,     360,
"Knowledge of languages","    Non-Aboriginal languages",, 4397690,, 2099820,, 2297865,, 9107075,, 4361420,, 4745660,
"Knowledge of languages","      Afro-Asiatic languages",,  362645,,  183050,,  179595,,  837355,,  432560,,  404795,
"Knowledge of languages","        Berber languages",,     925,,     505,,     415,,   29460,,   15745,,   13715,
"Knowledge of languages","          Kabyle",,     530,,     280,,     255,,   17120,,    9100,,    8015,
"Knowledge of languages","          Berber languages; n.i.e.",,     390,,     225,,     165,,   12505,,    6735,,    5775,
"Knowledge of languages","        Cushitic languages",,   34160,,   15155,,   19000,,   57125,,   26870,,   30250,
"Knowledge of languages","          Bilen",,     355,,     200,,     160,,    1085,,     625,,     470,
"Knowledge of languages","          Oromo",,    2075,,     905,,    1175,,    6245,,    3070,,    3175,
"Knowledge of languages","          Somali",,   31535,,   13925,,   17610,,   49665,,   23070,,   26590,
"Knowledge of languages","          Cushitic languages; n.i.e.",,     370,,     170,,     205,,     480,,     220,,     265,
"Knowledge of languages","        Semitic languages",,  330315,,  168750,,  161570,,  771130,,  400780,,  370350,
"Knowledge of languages","          Amharic",,   16010,,    7565,,    8445,,   33670,,   16675,,   16995,
"Knowledge of languages","          Arabic",,  246015,,  127015,,  119000,,  629055,,  329235,,  299820,
"Knowledge of languages","          Assyrian Neo-Aramaic",,   17825,,    8775,,    9050,,   19745,,    9720,,   10020,
"Knowledge of languages","          Chaldean Neo-Aramaic",,    6185,,    3045,,    3140,,    7115,,    3505,,    3610,
"Knowledge of languages","          Harari",,    1310,,     660,,     645,,    1710,,     855,,     860,
"Knowledge of languages","          Hebrew",,   43255,,   22165,,   21090,,   75020,,   38730,,   36290,
"Knowledge of languages","          Maltese",,    7020,,    3455,,    3570,,    7625,,    3760,,    3870,
"Knowledge of languages","          Tigrigna",,    9385,,    4320,,    5065,,   21340,,   10640,,   10705,
"Knowledge of languages","          Semitic languages; n.i.e.",,    1985,,    1010,,     975,,    3220,,    1655,,    1565,
"Knowledge of languages","        Afro-Asiatic languages; n.i.e.",,    1125,,     535,,     590,,    2775,,    1440,,    1335,
"Knowledge of languages","      Austro-Asiatic languages",,   99830,,   46210,,   53620,,  224865,,  105845,,  119020,
"Knowledge of languages","        Khmer (Cambodian)",,   10045,,    4490,,    5550,,   27035,,   12640,,   14400,
"Knowledge of languages","        Vietnamese",,   90265,,   41965,,   48300,,  198895,,   93735,,  105155,
"Knowledge of languages","        Austro-Asiatic languages; n.i.e.",,      60,,      10,,      50,,     190,,      70,,     120,
"Knowledge of languages","      Austronesian languages",,  249435,,   98295,,  151150,,  656200,,  273075,,  383125,
"Knowledge of languages","        Bikol",,     755,,     340,,     425,,    2075,,     885,,    1190,
"Knowledge of languages","        Cebuano",,    9475,,    3650,,    5830,,   27045,,   10960,,   16085,
"Knowledge of languages","        Fijian",,     110,,      40,,      65,,    1660,,     955,,     705,
"Knowledge of languages","        Hiligaynon",,    3110,,    1205,,    1910,,    7925,,    3200,,    4720,
"Knowledge of languages","        Ilocano",,   15235,,    5940,,    9295,,   34530,,   13805,,   20730,
"Knowledge of languages","        Malagasy",,     215,,     115,,     100,,    2335,,    1120,,    1220,
"Knowledge of languages","        Malay",,    9780,,    4500,,    5280,,   22470,,   10370,,   12100,
